Judul,Author,Topik,Waktu,Gambar,Isi Berita
"Terima Gelar Kehormatan dari IPDN, Hendi Bicara Inovasi Tangani Pandemi",Yudistira Imandiar,"pemkot semarang,ipdn,hendrar prihadi","Senin, 19 Apr 2021 22:04 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/hendrar-prihadi_169.jpeg?w=700&q=90,"Wali Kota Semarang Hendrar Prihadi menerima tanda kehormatan Kartika Pamong Praja Muda dari Institut Pemerintahan Daerah (IPDN). Ini merupakan penghargaan kedua dari IPDN untuk pria yang disapa Hendi, setelah menerima tanda kehormatan di tahun 2011.Selain menerima penghargaan tanda kehormatan, Hendi juga didapuk untuk memberikan materi pada Stadium General IPDN 2021 di Jatinangor, Sumedang. Ia berbicara soal penanganan COVID-19, dan upaya pemulihan ekonomi di Kota Semarang.Hendi menyampaikan pandemi memberikan dampak penurunan ekonomi, tidak terkecuali bagi Kota Semarang yang selama ini bertumpu pada sektor perdagangan dan jasa. Untuk menyiasati kondisi pandemi, Pemerintah Kota Semarang salah satunya mendesain ulang sektor pariwisata di kota Semarang, sesuai prinsip new normal.Sepanjang 2020 pertumbuhan ekonomi di Kota Semarang minus 1,61 persen. Beberapa terobosan pun dijalankan Pemkot Semarang, seperti memfasilitasi terbentuknya pasar sehat di setiap kecamatan. Pasar tersebut menghadirkan perputaran ekonomi melalui tumbuhnya UMKM, dengan tetap mengedepankan penerapan protokol kesehatan.""Kami menginisiasi kegiatan ekonomi di tiap kecamatan, mendorong aktivitas adanya pasar sehat UMKM,"" jelas Hendi seperti dikutip dalam keterangan tertulis, Senin (19/4/2021).Industri kreatif pun tak luput dari perhatian Pemkot Semarang. Hendi menjelaskan pihaknya menginisiasi pembuatan sejumlah film dan album kompilasi para musisi.""Kami me-launching 5 film yang dibuat anak-anak muda Semarang, mereka kita beri fasilitas berupa pembiayaan dengan budget yang terbatas,"" urai Hendi.Dengan budget sekitar Rp 250 juta untuk 5 film tersebut, Hendi menyebut ekosistem ekonomi perfilman di Kota Semarang dapat tumbuh.""Launching film-nya di bioskop. Jadi bioskop ada penontonnya, sineas juga bisa memperoleh pendapatan dari karya mereka,"" sambung Hendi.Para musisi dan pelaku seni juga digerakkan untuk menciptakan album kompilasi. Karya yang melibatkan 40 musisi itu kemudian diperjualbelikan kepada masyarakat, sehingga menjadi penggerak ekonomi.""Maka potensi-potensi yang ada harus kita kembangkan. Termasuk pemikiran out of the box harus diimplementasikan dalam kehidupan sehari-hari,"" cetus Hendi.Rektor IPDN, Hadi Prabowo menilai sosok Hendi merupakan pemimpin muda yang memiliki jiwa inovatif. Ia menilai Hendi mampu mendorong bangkitnya UMKM dengan sinergitas kebijakan program pemerintah.""Wali kota yang penuh inovasi dan harmonisasi. Di satu sisi berusaha menekan pengeluaran, sisi lain berusaha meningkatkan pendapatan,"" sanjung Hadi."
Kata Waket MPR soal Hilangnya Pancasila-Bahasa Indonesia di Kurikulum,Inkana Putri,"lestari moerdijat,mpr,nadiem makarim","Senin, 19 Apr 2021 22:35 WIB",https://akcdn.detik.net.id/community/media/visual/2020/03/27/88276ae8-4952-43df-9661-72379502e295_169.jpeg?w=700&q=90,"Wakil Ketua MPR RI, Lestari Moerdijat mendorong realisasi usulan perbaikan Peraturan Pemerintah (PP) No.57 tahun 2021 tentang Standar Pendidikan Nasional. Dengan demikian, persoalan terkait tidak adanya mata ajaran Pancasila dan Bahasa Indonesia dalam kurikulum pendidikan nasional tidak menjadi polemik berlarut.""Polemik yang terjadi terkait tidak adanya mata ajaran Pancasila dan Bahasa Indonesia dalam kurikulum pendidikan nasional harus segera diakhiri dengan langkah-langkah konkret agar proses pendidikan nasional dapat berlangsung sesuai dengan yang kita harapkan bersama,"" ujar Lestari dalam keterangannya, Senin (19/4/2021).Sebelumnya, Menteri Pendidikan dan Kebudayaan, Nadiem Makarim mengajukan Izin Prakarsa Penyusunan Peraturan Pemerintah tentang Perubahan Atas PP No. 57 Tahun 2021 tentang Standar Nasional Pendidikan kepada Presiden Republik Indonesia. Adapun izin tersebut tertuang dalam surat bernomor 25059/MpK.A/HK.01 ,01/2021, tertanggal 16 April 2021.Dalam surat tersebut, Nadiem mendorong adanya perubahan PP No.57 Tahun 2021 tentang Standar Nasional Pendidikan dengan mengintegrasikan Pancasila dalam kurikulum pendidikan dan ketentuan mengenai kurikulum pendidikan tinggi.""Langkah tersebut harus segera direalisasikan agar kurikulum pendidikan kita mampu mewujudkan cita-cita luhur pendidikan nasional, yang berfungsi mengembangkan kemampuan dan membentuk watak serta peradaban bangsa yang bermartabat dalam rangka mencerdaskan kehidupan bangsa,"" jelasnya.Meskipun demikian, anggota Komisi X DPR RI ini menyampaikan secara teknis terdapat masalah perundang-undangan terkait tidak tercantumnya Pancasila dan Bahasa Indonesia pada Pasal 40, PP No.57 Tahun 2021 itu.Ia menjelaskan bahwa PP tersebut merujuk pada Pasal 37 UU No.20 Tahun 2003 tentang Sisdiknas yang juga tidak mencantumkan Pancasila dan Bahasa Indonesia dalam kurikulum.Oleh karena itu, Lestari menyarankan agar para pemangku kepentingan sebaiknya tidak hanya melakukan usulan perubahan PP No. 57 Tahun 2021, tetapi juga melakukan evaluasi dan penyempurnaan terhadap UU No.20 Tahun 2003 tentang Sisdiknas, khususnya Pasal 37.Lestarie menyebut jika memperhatikan Kurikulum Pendidikan Tinggi, kurikulum tersebut telah mencantumkan Pancasila dan Bahasa Indonesia sebagaimana dimaksud dalam Pasal 35 ayat (3) UU No 12 Tahun 2012 tentang Pendidikan Tinggi.Melihat persoalan ini, Lestari pun mengimbau para pemangku kepentingan melakukan sinkronisasi dan harmonisasi terhadap UU Sisdiknas dan UU Pendidikan Tinggi.Menurutnya, dengan menyelesaikan persoalan tersebut maka perubahan PP No.57 Tahun 2021 nantinya akan memiliki dasar hukum yang lebih kuat dalam mencantumkan Pancasila dan Bahasa Indonesia pada kurikulum nasional."
"Jelang Lebaran, Pemkab Karawang Kebut Perbaikan Jalan",Yuda Febrian Silitonga,"perbaikan jalan,karawang,birojabar","Senin, 19 Apr 2021 23:01 WIB",https://akcdn.detik.net.id/community/media/visual/2021/03/17/wabup-karawang-aep-syaepulloh_169.jpeg?w=700&q=90,"Pemkab Karawang mengebut perbaikan jalan menjelang Hari Raya Idul Fitri. Meski telah keluar edaran dilarangnya mudik, tetapi penggunaan jalan menjadi prioritas utama.Wakil Bupati Aep Syaepuloh mengatakan pihaknya memprioritaskan perbaikan yang mengalami kerusakan di beberapa wilayah. Hal ini juga atas banyaknya keluhan masyarakat atas kerusakan jalan yang terjadi. Serta wujud dari janji Bupati yang menginginkan infrastruktur di Karawang secara merata.""Perbaikan infrastruktur dari jalan harus segera dikerjakan,"" tegasnya saat dihubungi melalui telepon selular, Senin (19/4/2021).Lanjutnya, ia juga menginstruksikan ke semua jajaran, agar tidak lalai, untuk memperbaiki jalan yang rusak.""Saya tadi panggil Kadis DPUPR, Kabid Pemeliharaan, Kabid Jalan, bahkan tadi pun ada Kabid Jembatan. Saya ingatkan jangan mentang-mentang ini jalan provinsi, ini jalan pusat, lantas kita sebagai pemerintah daerah cuek, saya sampaikan bahwa kita ini harus proaktif, jangan diam untuk melihat program dari pusat dan provinsi untuk tahun ini mereka akan ada garapan apa saja di Karawang,"" jelasnya.Sambung Aep, target perbaikan jalan dimulai pada bulan April dan Mei.""Targetnya, dimulai bulan April, dan Mei semua pengerjaan perbaikan harus berjalan,"" tandasnya.Sebelumnya, di berbagai media sosial, keluhan terkait jalan rusak menjadi perbincangan masyarakat Karawang, seperti kerusakan di Interchange Karawang barat, dan Karawang Timur, juga di beberapa wilayah di Karawang."
"Bertemu di Bandung, Ridwan Kamil Hadiahi Dua Pantun untuk Khofifah",Yudha Maulana,"bandung,ridwan kamil,khofifah,birojabar","Senin, 19 Apr 2021 23:09 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/ridwan-kamil-hadiahi-dua-pantun-untuk-khofifah_43.jpeg?w=700&q=90,"Gubernur Jawa Barat Ridwan Kamil menerima kunjungan Gubernur Jawa Timur Khofifah Indar Parawangsa dan Muslimat Nahdlatul Ulama (NU) Jabar di Gedung Sate, Kota Bandung pada Senin (19/4/2021) malam.Dalam kesempatan itu, sosok yang akrab disapa Kang Emil itu menghadiahkan dua buah pantun bagi Khofifah. Seperti diketahui, berpantun merupakan ciri khas Kang Emil dalam setiap sambutannya.Lalu bagaimana pantunnya untuk Khofifah ?Dalam pantun yang pertama, Kang Emil mengungkapkan rasa senangnya bertemu dengan Khofifah. Ia pun mendoakan agar Jawa Barat dan Jawa Timur sejahtera.""Ngemil dan ngopi sambil pegang kopiah,Bersama anak yatim berbuka puasa.Ridwan Kamil sangat menyayangi bu Khofifah,Semoga Jatim - Jabar rakyatnya sejahtera,"" ujar Kang Emil yang disambut tepuk tangan dari Khofifah dan para jemaah muslimat NU.Sementara untuk pantun yang kedua, Kang Emil menyisipkan doa agar silaturahmi Khofifah ke Jawa Barat bisa mempererat ukhuwah muslimah NU.""Ada semur kentang dan ketupat,Dimakan nikmat satu persatu.Dari timur datang ke Jawa Barat,Untuk pererat muslimah NU,"" kata Kang Emil.Di luar itu, Kang Emil mengajak agar organisasi muslimat NU bisa beradaptasi di masa pandemi COVID-19. ""Jadilah organisasi yang beradaptasi karena covid mengajarkan, siapa yang beradaptasi dia selamat,"" kata Kang Emil.Di akhir sambutannya, Kang Emil juga memamerkan desain masjid Syaikh Ajlin di Palestina kepada para hadirin. ""Kita harus bersyukur, di Jawa Barat saja masjid ada ratusan ribu, tiap 'pengkolan' ada. Tinggal memakmurkannya,"" pungkasnya."
"Di Gedung Sate, Khofifah Minta Kang Emil Arsiteki Masjid Pemprov Jatim",Faiq Azmi,"gubernur khofifah,kang emil,gedung sate,masjid pemprov jatim,birojatim","Senin, 19 Apr 2021 22:39 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/gubernur-khofifah-4_43.jpeg?w=700&q=90," bertemu dengan Gubernur Jawa Barat Ridwan Kamil (). Lalu apa tujuan Khofifah bertemu Kang Emil?Mengenakan baju berwarna kuning, Khofifah tiba di Kantor Gubernur Jawa Barat atau Gedung Sate pukul 20.30 WIB. Khofifah didampingi oleh sejumlah kepala OPD di lingkup Pemprov Jatim.Kedatangan Khofifah diterima langsung oleh Kang Emil yang mengenakan jas dengan sarung. Tampak momen keduanya sangat akrab berbincang.Diketahui, kedatangan Khofifah ke  merupakan bagian dari silaturahmi antara Gubernur Jabar dengan Gubernur Jatim bersama Muslimat NU Jabar.Sebelumnya, Khofifah baru saja menerima penghargaan Tanda Kehormatan Kartika Pamong Praja dari Rektor Institut Pemerintahan Dalam Negeri (IPDN) Dr Hadi Prabowo.Penghargaan tersebut diberikan atas kepemimpinan pemerintahan Gubernur Khofifah yang baik dan pendayagunaan alumni pendidikan tinggi kepamongprajaan. Pemberian anugerah tanda kehormatan diberikan langsung oleh Hadi di Kampus IPDN, Sumedang, Senin (19/4/2021). dalam sambutannya di Gedung Sate, berterima kasih atas jamuan dari Kang Emil. Mantan Mensos RI ini juga meminta Kang Emil untuk membantu mengarsiteki masjid milik Pemprov Jatim di Islamic Center Surabaya.""Islamic Center punya Pemprov di Surabaya, masjidnya di belakang gedung. Size-nya musala. Jadi saya minta kita pingin bangun masjid tidak setengah-setengah, dan ada space parkiran luas. Sesuai skill yang dimiliki Pak Gubernur (Kang Emil), mungkin nanti ada tim yang melihat ke sana,"" ujar Khofifah."
Saat Warga Mencari Barang Berharga Usai Kebakaran Tamansari Jakbar,Grandyos Zafna,"kebakaran,kebakaran tamansari,korban kebakaran tamansari,tamansari,fotodetikcom","Senin, 19 Apr 2021 21:53 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/saat-warga-mencari-barang-berharga-usai-kebakaran-tamansari-jakbar_169.jpeg?w=700&q=90,
Dugaan Nista Agama Bikin Desak Made Dipolisikan,Tim detikcom,"desak made darmawati,penistaan agama,hindu,polisi","Senin, 19 Apr 2021 23:01 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/desak-made-darmawati-menyampaikan-permohonan-maaf-di-hadapan-ketua-phdi_169.jpeg?w=700&q=90,"Penceramah  dipolisikan oleh sejumlah ormas . Desak Made Darmawati kemudian dilaporkan terkait dugaan penistaan agama.Video ceramah Desak Made Darmawati yang diduga menistakan agama Hindu itu berisi soal pengalamannya saat menganut agama Hindu beberapa tahun lalu. Video itu kemudian viral.Desak Made Darmawati sendiri mengaku tidak bermaksud menistakan atau merendahkan ajaran Hindu. Setelah video ceramahnya viral, Desak Made Darmawati meminta maaf.""Setelah memperhatikan masukan, saran, dan kritik dari berbagai pihak, maka dengan penuh kesadaran dan kerendahan hati saya mengakui dan menyadari bahwa pernyataan saya telah melukai masyarakat atau umat Hindu dan pemuka Hindu serta kehidupan umat beragama yang harmoni di dalam masyarakat kita,"" ujarnya melalui siaran pers di Jakarta, seperti dilansir , Minggu (18/4/2021).""Oleh karena itu, dengan kerendahan hati saya menyampaikan permohonan maaf kepada segenap masyarakat atau umat Hindu dan pemuka agama Hindu serta segenap masyarakat Indonesia,"" ujarnya.Pernyataan maaf Desak Made Darmawati itu disampaikan dalam pertemuan di kompleks Pura Mustika Dharma, Cijantung, Jakarta Timur, Sabtu (17/4) malam. Pertemuan itu turut disaksikan Dirjen Bimas Hindu Kementerian Agama (Kemenag) Tri Handoko Seto, Ketua Umum Parisada Hindu Dharma Indonesia (PHDI) Wisnu Bawa Tenaya, Rektor Uhamka Gunawan Suryoputro, serta perwakilan dari Kementerian Koordinator Pembangunan Manusia dan Kebudayaan (PMK). juga mengaku siap bertanggung jawab jika masalah ini masuk ke ranah hukum. Dia berharap masyarakat menerima permohonan maafnya.""Permintaan maaf ini tanpa ada paksaan dari pihak manapun dan kejadian ini telah menyadarkan saya untuk tidak mengulangi lagi dan jadi pembelajaran,"" kata Desak Made Darmawati.Ketua Umum PHDI, Wisnu Bawa Tenaya, mengaku telah menerima permintaan maaf dari Dasek Made Darmawati. Dia mengatakan masalah yang ada harus diselesaikan secara baik-baik.""Mari kita juga saling menghormati. Kita juga berkomitmen jika masalah keumatan, maka akan kita segera selesaikan dengan cara yang baik,"" ujarnya.
        "
"Gudang Mebel di Pulo Gebang Terbakar, 13 Unit Damkar Dikerahkan",Arief Ikhsanudin,"kebakaran di jakarta,kebakaran,jakarta","Senin, 19 Apr 2021 22:59 WIB",Gambar tidak tersedia,"Gudang mebel di,  terbakar. Sebanyak 13 unit pemadam kebakaran dikerahkan ke lokasi kebakaran.Data Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) DKI Jakarta menyebut lokasi kejadian berada di Jl Pulo Gebang RT 11/RW 06, Kelurahan Pulo Gebang, Cakung, Jakarta Timur.""Objek gudang mebel. Jenis bangunan, bangunan rendah,"" tulis Dinas Gulkarmat DKI Jakarta dalam keterangannya, Senin (19/4/2021).Masyarakat melaporkan kejadian kebakaran itu pada pukul 22.22 WIB. Unit pemadam tiba pada pukul 22.33 WIB, dan mulai operasi pada 22.35 WIB.Laporannya, terdapat 13 unit pemadam kebakaran dengan 65 personel dikerahkan ke lokasi. Sampai saat ini, petugas masih berusaha untuk memadamkan api.Belum ada informasi penyebab kebakaran dan ada tidaknya korban jiwa dalam kejadian tersebut."
Mau Jadi Polisi? Baca Dulu Buku Perjalanan Polri dari Masa ke Masa,Erika Dyah,"polri,bambang soesatyo,mpr","Senin, 19 Apr 2021 22:04 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/19/bambang-soesatyo-1_169.jpeg?w=700&q=90,"Ketua MPR RI Bambang Soesatyo mendorong para generasi muda yang ingin mengabdikan dirinya menjadi polisi untuk terlebih dahulu membaca buku 'Pearl Harbor Hiroshima Nagasaki. Kepolisian negara RI'. Sebab, kata Bamsoet, buku karya Komjen Pol (purn) Arif Wachjunaidi ini mengungkap latar belakang dan kisah kelahiran Kepolisian Negara Republik Indonesia (Polri).Dalam pertemuannya bersama Komjen Pol (purn) Arif Wachjunaidi, Bamsoet pun mengungkap bahwa buku ini memuat perjalanan Polri dari masa ke masa. Bahkan, sejak Indonesia berada dalam pusaran perang pasifik ketika berkobarnya Perang Dunia Kedua.""Mendalami buku tersebut, kita bisa mendapatkan gambaran yang jelas mengenai awal mula kelahiran Polri, yang ternyata cikal bakalnya sudah ada sejak masa sebelum kemerdekaan Indonesia pada 17 Agustus 1945. Jika dirunut, bahkan dimulai dari sejarah penyerangan pangkalan laut Amerika Serikat, Pearl Harbor, oleh Jepang pada 7 Desember 1941,"" ujar Bamsoet dalam keterangannya, Senin (19/4/2021).Menurutnya, pengetahuan tentang sejarah Polri sangat penting untuk diketahui dan dipahami oleh seluruh personel Polri. Untuk itu Bamsoet mengatakan tidak berlebihan kiranya jika ia menilai buku ini sebagai salah satu bacaan wajib bagi siswa yang sedang menempuh pendidikan untuk menjadi polisi.Ketua DPR RI ke-20 ini menjelaskan sosok Komjen Pol (purn) Arif Wachjunaidi sudah lama terkenal sebagai salah satu jenderal intelektual terbaik yang dimiliki Polri. Bamsoet menilai hal tersebut tidak mengherankan karena selama berkarier di kepolisian Arif pernah mengemban berbagai amanah jabatan.Adapun jabatan tersebut antara lain Analisis Kebijakan Utama Bidang Kurikulum Lemdiklat Polri (2018), Sekretaris Utama Lemhanas (2016), Asrena Kapolri (2015), Asops Kapolri (2013), Kapolda Bali (2012), Sahlisospol Kapolri (2012), dan Kapolda NTB (2009).""Berbagai buku telah ia lahirkan, antara lain 2.7 Model of Leader Character (2013), Awali dengan Senyum (2013), Blue Table Management (2013), Soft Power Penegakan Hukum di Sanolo Bolo Bima (2012), dan Menyapa dengan Budaya (2011),"" jelas Bamsoet.Mantan Ketua Komisi III DPR RI ini menerangkan tidak heran jika dalam penulisan buku 'Pearl Harbor Hiroshima Nagasaki. Kepolisian negara RI' termuat banyak fakta dan data yang sangat kuat. Ia pun mengungkap buku ini mengulas tiga peristiwa penting tentang kapan dan dari mana Polri lahir yakni bermula dari rangkaian sejarah dalam tiga tanggal 'keramat' antara lain 19 Agustus 1945, 21 Agustus 1945, hingga 1 Juli 1946.""Sebagai intelektual, Komjen Pol (purn) Arif Wachjunaidi menilai tanggal 21 Agustus 1945 yang merupakan momentum proklamasi Polri sebagai Polisi Nasional, sangat layak dijadikan sebagai dasar Hari Kepolisian Nasional. Ia juga menyertakan delapan fakta sejarah sebagai penguat argumennya,"" terang Bamsoet.Kendati demikian, Kepala Badan Bela Negara FKPPI ini menyampaikan penilaian tersebut berbeda dengan keputusan pemerintah melalui Penetapan Pemerintah RI Nomor 11/SD Tahun 1946 yang ditandatangani Presiden Soekarno dan Menteri Dalam Negeri Soedarsono pada 25 Juni 1946. Diketahui, putusan tersebut menetapkan Hari Bhayangkara atau Hari Kepolisian Nasional diperingati setiap 1 Juli yang didasarkan pada peristiwa terpisahnya Polri dari Kejaksaan Agung dan Kementerian Dalam Negeri hingga menjadi jawatan tersendiri yang berada langsung di bawah Perdana Menteri.""Perbedaan pandangan ini tidak perlu dipertentangkan. Justru sangat menarik karena bisa dijadikan sebagai bahan penelitian lebih lanjut. Sehingga mengundang lebih banyak intelektual untuk menggali lebih dalam tentang kapan dan di mana jejak perjalanan Polri bermula. Dengan demikian semakin menambah kekayaan khazanah ilmu pengetahuan bangsa tentang kepolisian,"" pungkas Bamsoet."
"Trauma, Perawat RS Siloam Sempat Ungkap Niat Berhenti Kerja ke Ibunda",Prima Syahbana,"perawat rs siloam,perawat rs siloam dianiaya,rs siloam,biromedan","Senin, 19 Apr 2021 22:11 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/17/pelaku-penganiayaan-perawat-rs-siloam-jason-tjakrawinata-alias-jt-38-2_43.jpeg?w=700&q=90,"Christina Ramauli (27) sempat berniat akan mundur dari profesinya. Namun, Sriwijaya Palembang, Sumatera Selatan (Sumsel), yang menjadi korban penganiayaan keluarga pasien itu akhirnya mengurungkan niatnya.""Berdasarkan keterangan ibu korban saat kita membesuk beberapa waktu lalu, Christina yang dalam kondisi trauma memang sempat menyebut ingin mundur dari posisinya sebagai ,"" kata Ketua DPW Persatuan Perawat Nasional Indonesia (PPNI) Sumatera Selatan Subhan Haikal, kepada , Senin (19/4/2021).Subhan menuturkan niat mundur dari profesi perawat timbul saat Christina mengalami puncak dari traumanya. Niat tersebut menghilang seiring dengan kondisinya yang membaik.""Alhamdulillah kondisinya sekarang sudah membaik. Secara fisik lebam yang ada di perut mulai berangsur nyerinya berkurang, yang di dagu masihlah . Mungkin secara psikis masih sedikit trauma, dan hingga kini masih dirawat di ,"" ujar Subhan.Subhan menuturkan, untuk memulihkan psikis Christina dari trauma, dua dokter dan psikolog mendampinginya. Untuk mengawal kasus hukum di kepolisian, PPNI juga memberikan pendampingan hukum.""Insyaallah kasusnya tetap berlanjut, perawat Christina akan didampingi yang jelas dari  dan  badan bantuan hukum PPNI. Jadi kita sudah siapkan seperti itu,"" ujar Subhan.Jason Tjakrawinata alias JT (38) ditetapkan jadi tersangka kasus penganiayaan  Sriwijaya, Palembang, Christina Ramauli Simatupang. Dia juga ditahan di Polrestabes Palembang untuk mempertanggungjawabkan perbuatannya.Jason dijerat Pasal 351 KUHPidana dengan ancaman hukuman 2 tahun 8 bulan penjara karena menganiaya perawat . Selain itu, Jason dijerat pasal perusakan karena merusak ponsel milik lainnya, berinisial AR, yang pada saat kejadian merekam aksi keributan tersebut.
        "
