Judul,Author,Topik,Waktu,Gambar,Isi Berita
Puluhan Santri di Jember Salat Gaib untuk 53 Kru KRI Nanggala-402,Yakub Mulyono,"kri nanggala 402,kri nanggala-402,salat gaib,ponpes riyadlus sholihien,birojatim","Senin, 26 Apr 2021 19:23 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/26/salat-gaib-untuk-kru-kri-nanggala-402_169.jpeg?w=700&q=90,"Sebanyak 75 santri Pondok Pesantren  di Jalan Melati V Gebang Tengah, Kelurahan Gebang, Kecamatan Patrang, menggelar ibadah untuk mendoakan 53 prajurit yang gugur akibat tenggelamnya kapal selam KRI Nanggala-402. Salat Gaib diimami pengasuh Ponpes Riyadlus Sholihien, KH. Madini Faruq.""Ibadah  ini kami lakukan sebagai bentuk keprihatinan kami atas gugurnya 53 orang prajurit kapal selam yang mengalami kecelakaan saat latihan perang di sekitar kawasan laut Bali,"" kata Madini usai salat Gaib, Senin (26/4/2021).Pria yang karib disapa Gus Mamak itu mengatakan sebelumnya santri pondok bersama masyarakat menggelar doa bersama ketika mendengar kabar  Tenggelam bersama penumpang di dalamnya. Doa bersama dilakukan ketika dalam proses pencarian.""Tapi kemudian dikabarkan menemukan serpihan dan kapal selam terbagi jadi 3 bagian. Ditambah pernyataan panglima TNI jika para prajurit itu gugur. Kita kemudian melaksanakan kegiatan salat Gaib ini,"" terang Gus Mamak.Dengan ni, jemaah mendoakan agar prajurit yang gugur mendapat pahala seperti layaknya orang yang mati syahid. Dan bagi negara, jasa prajurit ini akan dikenang.""(semoga mendapat pahala), Baik dari Allah sebagai seorang prajurit yang mati syahid dan Khusnul Khotimah, juga dikenang jasa-jasanya bagi negara ini,"" harap Gus Mamak."
Tetangga Kenang Sosok Pengayom Letkol Irfan Suri Awak KRI Nanggala-402,M Solihin,"kri naggala-402,letkol laut irfan suri,bogor,birojabar","Senin, 26 Apr 2021 18:58 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/26/karangan-bunga-menghiasi-rumah-duka-letkol-laut-irfan-suri_169.jpeg?w=700&q=90,"Letkol Laut Irfan Suri, menjadi salah satu prajurit yang gugur dalam peristiwa tenggelamnya kapal selam Nanggala-402 pada Rabu (21/4/2021) lalu. Letkol Irfan dikenal sebagai sosok periang dan pengayom oleh rekan dan warga sekitar rumahnya di Perumahan Bogor Nirwana Resisence.Jaya, tetangga Letkol Irfan mengungkapkan sikap tegas namun mengayomi masyarakat sekitar. Meski tidak mengenal dekat dengan Letkol Irfan, Jaya mengaku punya kesan yang baik terhadap bapak 3 anak itu.""Almarhum itu sosok yg baik dan tegas ya kalau menurut saya. Beberapa kadang saya lihat di berkomunikasi baik sama warga sini. Kalau saya sih, dibilang dekat nggak, tapi sekedar tahu dan pernah ngobrol bareng sama almarhum,"" ungkap Jaya ketika berbincang dengan wartawan, Senin (26/4/2021).""Kalau saya sih kagum sama beliau itu, selain sebagai TNI tapi saya lihat sayangnya beliau ke keluarga,"" imbuhnya.Jaya juga sempat mengenang bagaimana Letkol Irfan menangani kasus pencurian yang dialami warga sekitar. Letkol Irfan berinisiatif mencari hingga akhirnya pelaku berhasil ditemukan dalam waktu kurang 24 jam.""Kalau di mata saya pribadi, dia sosok yang tegas, baik, dan mengayomi warga-warga di sini. Seperti waktu itu ada kejadian salah satu rumah di cluster yang kemalingan, dengan inisiatif almarhum langsung cari tersangkanya dan nggak sampai 24 jam sudah tertangkap,"" ubgkap Jaya.Bagi rekan-rekan satu angkatannya, Letkol Laut Irfan Suri dianggap sebagai sosok yang baik dan pembangkit suasana hati. Sikapnya yang periang ketika bergaul selalu mudah membuat orang di sekitarnya merasa senang.""Dia itu periang, orangnya bisa mudah bergaul sama orang, sangat disenangi oleh rekan kerja, baik kolega, atasan, bawahan, orangnya memang humble banget,"" kata pria yang mengaku sebagai teman satu angkatan dengan Letkol Irfan saat ditemui di rumah duka, Senin (26/4/2021).""orangnya suka guyon, makanya ketemu dia ini ujungnya selalu ketawa, pokoknya kalau ketemu dia bawaannya ketawa terus. Inilah yang membuat teman-teman satu litting ini merasa sangat kehilangan beliau,"" imbuhnya.Letkol Laut Irfan Suri disebut sudah 19 tahun mengabdi sebagai prajurit TNI Angkatan Laut. Angkatan 2002 ini disebut lebih banyak menghabiskan pengabdiannya di angkatan laut, khususnya di departemen elektronika.Dengan masa pengabdiannya itu, Letkol Irfan sudah memiliki penghargaan Satya Lencana Kesetiaan yang biasanya diberikan terhadap prajurit yang audah lebih dari 16 tahun mengabdi."
"Tsunami Corona, India Kebut Pembangunan Tempat Kremasi Tambahan","detikTV, dtv","tempat kremasi di india,india","Senin, 26 Apr 2021 19:00 WIB",Gambar tidak tersedia," mengacaukan . Saking tingginya angka kasus Corona, India memperbanyak tempat kremasi."
Rincian Beasiswa Menhan Prabowo Bagi Anak Awak KRI Nanggala-402,Gibran Maulana Ibrahim,"menhan prabowo subianto,prabowo,kri nanggala-402","Senin, 26 Apr 2021 19:17 WIB",https://akcdn.detik.net.id/community/media/visual/2021/03/19/prabowo-serahkan-pesawat-made-in-ri-ke-au-senegal_169.jpeg?w=700&q=90,"Menteri Pertahanan (Menhan)  Subianto bakal memberikan beasiswa bagi anak-anak awak kapal selam KRI Nanggala-402 yang gugur. Berikut ini rincian beasiswa yang akan diberikan Prabowo.Dalam keterangan resminya seperti disampaikan juru bicara Dahnil Anzar Simanjuntak, Senin (26/4/2021) Prabowo telah memberi instruksi kepada lembaga pendidikan di bawah binaan Kementerian Pertahanan. Dua lembaga itu yakni Taruna Nusantara Magelang dan Universitas Pertahanan Republik Indonesia.""Untuk mengalokasikan tempat bagi putra-putri ABK KRI Nanggala 402 dan personel TNI AL yang telah gugur dalam tugas menjaga negeri sebagai pahlawan bangsa,"" kata .Anak awak kapal selam KRI Nanggala-402 yang masih di tingkat sekolahan akan diterima di SMA Taruna Nusantara Magelang dengan beasiswa penuh. Yang akan berkuliah, bakal diberi beasiswa penuh di Universitas Pertahanan RI.""Bagi putra-putri yang mengenyam pendidikan tingkat SMA, akan diterima di SMA Taruna Nusantara Magelang dengan beasiswa penuh. Bagi yang akan masuk perguruan tinggi, akan diterima di Universitas Pertahanan Republik Indonesia juga dengan beasiswa penuh,"" ucap Prabowo.Bagaimana dengan yang masih SD dan SMP?  tetap akan memberi beasiswa penuh lewat yayasan.""Saat ini sedang disiapkan cabang pendidikan Taruna Nusantara di level SMP (berasrama). Bagi yang masih mengenyam pendidikan Sekolah Dasar, dan SMP juga akan diberikan beasiswa penuh melalui Yayasan Pengembangan Potensi Sumber Daya Pertahanan,"" tegas Prabowo."
"Duh, Trotoar di Daan Mogot Jadi Lintasan Bikers Nakal",ANTARA FOTO/M Risyal Hidayat,"motor,trotoar,trotoar daan mogot,pengendara motor,fotodetikcom","Senin, 26 Apr 2021 19:15 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/26/pengendara-motor-gunakan-trotoar-di-daan-mogot-2_169.jpeg?w=700&q=90,
John Paul Ivan: Henry Itu Last Man Standing-nya Boomerang,Deny Prastyo Utomo,"hubert henry limahelu,hubert henry,hubert henry meninggal dunia,john paul ivan,boomerang,birojatim","Senin, 26 Apr 2021 18:56 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/26/hubert-henry-boomerang-meninggal-2_43.jpeg?w=700&q=90,"Dalam prosesi pemakaman jenazah , tampak mantan gitaris Boomerang, . Ia menyebut Henry sebagai last man standing-nya Boomerang.Ivan mengatakan, ia bersama dengan teman-teman merasa kehilangan, atas berpulangnya Hubert Henry. Meski begitu, ia mengajak semua pihak untuk merelakan dan terus mendoakan Henry.""Iya kita pasti merasa kehilangan. Kan mendadak banget. Tuhan berkata lain, mungkin ini yang terbaik buat Henry. Kita harus merelakan, mendoakan,"" ungkap Ivan usai pemakaman Hubert Henry di TPU Kembang Kuning, Surabaya, Senin (26/4/2021).Sebelumnya,  disebut-sebut memiliki rencana untuk reuni dengan para mantan personel Boomerang. Seperti dengan Ivan, mantan vokalis Roy Jeconiah dan mantan drummer Farid Martin.Mengenai rencana tersebut, Ivan mengaku belum mengetahui secara pasti. Yang pasti, menurutnya, Hubert Henry merupakan last man standing-nya Boomerang. Atau orang terakhir yang bertahan di Boomerang, setelah Ivan, Roy dan Farid keluar.""Kita nggak tahu. Kita nggak tahu ke depannya apa. Yang penting Henry itu last man standing-nya Boomerang. Apa pun yang dia ingin sesuatu ke depannya mungkin tidak tersampaikan sekarang. Kita sebagai mantan udah kita terima aja apa adanya,"" paparnya.""Kita harap semuanya bisa menerima ini. Cukup mencintai aja karya dan perjalanan Boomerang yang pernah ada. Yang pernah kalian tahu, udah itu aja. Cintai apa adanya,"" ungkap Ivan.Ivan mengatakan, komunikasi terakhirnya dengan  yakni pada Maret lalu melalui video call. Saat itu, Henry mau bertemu dengan para Boomers, fans Boomerang di Jawa Tengah."
Suara dari Senayan Desak Setop Alutsista Hibah-Beli Bekas,Rolando Fransiscus Sihombing,"kri nanggala-402,alutsista,kapal selam","Senin, 26 Apr 2021 18:20 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/24/kri-nanggala-402_169.jpeg?w=700&q=90,"Tenggelamnya kapal selam  milik TNI AL yang merenggut 53 nyawa prajurit mendorong adanya pemajuan alat utama sistem pertahanan (). Legislator di Senayan mendesak dihentikannya alutsista dari hibah dan pembelian bekas.Wakil Ketua MPR Zulkifli Hasan (Zulhas) turut berduka dengan musibah yang menimpa KRI Nanggala-402. Zulhas menilai musibah KRI Nanggala menjadi momentum pemajuan alutsista milik Indonesia.""Musibah yang menimpa KRI Nanggala-402 membuat kita berduka. Peristiwa ini harus dijadikan momentum untuk mendorong pemajuan dan pemodernan alutsista kita. Jangan sampai nyawa para putera terbaik bangsa terkorbankan lagi karena kita lalai memperbaiki alat utama sistem senjata TNI,"" kata Zulhas dalam keterangannya, Senin (26/4/2021).Anggota Komisi I DPR RI Fraksi PPP, Syaifullah Tamliha, menilai alutsista yang tak jelas pemeliharaannya lebih baik dimuseumkan. Pembelian alutsista bekas dan hibah pun diminta dihentikan.""Agar musibah yang menewaskan putra-putri terbaik bangsa tersebut jangan terus berulang, maka ada baiknya alutsista yang tidak jelas pemeliharaan tersebut diparkir saja menjadi museum,"" ujar Tamliha.""Hentikan hibah atau pembelian alutsista yang bekas agar peristiwa jatuhnya para prajurit kita yang gugur tidak selalu membekas di benak kita,"" tegasnya.Pembelian alutsista baru justru, menurut Tamliha, tak membebani APBN. Sebab, selama ini APBN cukup dibebankan pemeliharaan  berumur tua.""Penghematan tersebut juga mesti dibarengi dengan pembelian alutsista yang baru sehingga beban APBN tiap tahun tidak terkuras untuk pemeliharaan alutsista yang usang,"" ucapnyaSenada dengan Tamliha, anggota Komisi I DPR RI Fraksi Golkar, Dave Laksono, menilai perlu ada peremajaan . Sebab, era saat ini sistem pertahanan yang berkembang sudah menggunakan digital.""Kalau peremajaan, pengadaan sistem barang memang sudah dibutuhkan karena memang sistem pertahanan kita banyak yang masih menggunakan pertahanan konvensional, analog, kita sudah masuk digital 4.0,"" imbuhnya."
Eks Pejabat Kemenag Didakwa Rugikan Negara Rp 23 M di Proyek Lab MTs,Zunita Putri,"korupsi kemenag,kasus korupsi kemenag,skandal korupsi kemenag","Senin, 26 Apr 2021 18:57 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/11/ilustrasi-korupsi-1_169.jpeg?w=700&q=90,"Mantan pejabat di Direktorat Jenderal Pendidikan Islam Kementerian Agama (Ditjen Pendis ), Undang Sumantri didakwa merugikan negara Rp 23 miliar dalam . Undang didakwa memperkaya diri dan orang lain dalam kasus ini.""Terdakwa bersama sama Affandi Mochtar selaku pejabat penandatanganan surat perintah membayar (PPSPM), Abdul Kadir Alaydrus, Ahmad Maulana, Noufal selaku Deputy General Manager Business Service Regional I PT Telekomunikasi Indonesia, Tbk telah melakukan perbuatan memperkaya diri sendiri atau orang lain atau suatu korporasi yaitu PT Cahaya Gunung Mas (dengan memakai perusahaan PT Batu Karya Mas) sejumlah Rp 13.650.200.500, serta PT Telekomunikasi Indonesia, Tbk sejuklah Rp 5.095.645.960, dan PT Pramindo Ikat Nusantara (PT PINs) sejumlah Rp 4.890.806.614 pada pengadaan pengembangan sistem komunikasi dan media pembelajaran terintegrasi untuk jejaring MTs (Madrasah Tsanawiyah) dan MA (Madrasah Aliyah) pada Ditjen PI tahun anggaran 2011,"" ujar jaksa KPK di Pengadilan Tipikor Jakarta, Jalan Bungur Besar Raya, Senin (26/4/2021).""Yang merugikan keuangan negara atau perekonomian negara sejumlah Rp 13.650.200.500, dan sejumlah Rp 9.986.452.574 pada pengadaan pengembangan sistem komunikasi dab media pembelajatan terintegrasi untuk jenjang Madrasah Aliyah,"" lanjut jaksa.Undang saat itu menjabat sebagai PPK pada  serta pengadaan pengembangan sistem komunikasi dan media pembelajaran terintegrasi untuk jenjang MTs dan Madrasah Aliyah (MA), serta selaku Kepala Bagian Umun pada Setditjen .Jaksa mengatakan Undang dan Affandi Mochtar sebagai PPK dan PPSPM mendapat tugas di proyek pengadaan peralatan laboratorium komputer untuk MTs dan proyek pengembangan sistem komunikasi dan media pembelajaran terintegrasi di tingkat madrasah aliyah (MA). Jaksa menyebut dari pekerjaan itu, Undang dan Affandi berupaya memenangkan pihak tertentu dsn tidak mengendalikan pelaksanaan kontrak sebagaimana mestinya."
Kota Kediri Siapkan 527 Personil Cegah dan Antisipasi Pemudik,Andhika Dwi Saputra,"penyekatan,mudik,mudik 2021,larangan mudik,mudik lebaran,birojatim","Senin, 26 Apr 2021 19:09 WIB",https://akcdn.detik.net.id/community/media/visual/2021/04/26/polres-kediri-kota_169.jpeg?w=700&q=90,"Polres Kediri Kota, TNI, dan Pemkot Kediri menyiapkan 527 personel untuk giat  hadapi . Meski tak termasuk 20 titik penyekatan rayon, namun sejumlah pos tetap didirikan untuk penyeimbang wilayah-wilayah penyangga seperti Jombang, Kediri dan Ngajuk.""Untuk  se-Jawa Timur itu ada 7 titik akses mau masuk ke Jatim. Sementara di Polda Jatim sendiri itu ada 20 titik . Jadi nanti dibagi per rayon, khususnya di Kediri Kota kita tidak ada , hanya penyeimbang wilayah-wilayah penyangga seperti Jombang, Kediri Kabupaten dan Ngajuk,"" ujar Kapolres Kediri Kota AKBP Eko Prasetyo kepada wartawan, Senin (26/4/2021).Meski tidak termasuk dari salah satu daerah yang melaksanakan giat , namun Polres Kediri Kota tetap melakukan upaya antisipasi, meminimalisir warga Kota Kediri yang hendak bepergian keluar kota dengan menggelar giat rayonisasi di sejumlah titik, khususnya di perbatasan yang menghubungkan dua wilayah.""Disampaikan oleh ibu Gubernur, ada sistem rayonisasi, misalnya dari Kediri Kota mau ke Kabupaten Kediri. Kediri Kota mau ke Tulunganggung, maupun ke Ngajuk nantinya ada sistem pembagian rayon. Satu rayon ada lima kabupaten, "" imbuh Eko.Selain intensif giat rayonisasi, upaya lainnya yang dilakukan untuk mengantisipasi kedatangan pemudik yakni memaksimalkan kegiatan PPKM yang ada di setiap kantor kelurahan.Eko menambahkan pada momentum lebaran nanti yang patut diwaspadai dan dijadikan perhatian adalah aksi tindak kejahatan serta penyebaran COVID-19.""Allhamdulilah untuk wilayah Kediri Kota sudah bisa kita kendalikan (COVID-19), bersama Forkopimda, kita harus pertahankan itu, "" pungkas Eko."
Polisi di Sleman Ditangkap Usai Komentar Negatif Soal KRI Nanggala,"detikTV, detikTV","kri nanggala-402,oknum polisi,aipda fajar indriawan","Senin, 26 Apr 2021 19:03 WIB",Gambar tidak tersedia,"Polda DIY dan Bareskrim Polri menangkap seorang oknum polisi di Sleman, DIY. Oknum polisi itu ditangkap lantaran berkomentar negatif soal awak  di media sosial.Oknum itu bernama Aipda Fajar Indriawan. Dia bertugas di Polsek Kalasan. Terancam UU ITE?""Bisa masuk (UU ITE),"" kata Wakapolda DIY Brigjen Pol Raden Slamet Santoso, Senin (26/4/2021).Aipda Fajar kini telah dinonaktifkan. Gegara postingan negatifnya, sejumlah prajurit TNI menggeruduk Polsek Kalasan, Minggu (25/4) malam. Mereka mengkonfirmasi apakah benar Aipda Fajar berdinas di polsek tersebut. Juga meminta klarifikasi atas postingan Aipda Fajar.Polda DIY meminta maaf atas tindakan Aipda Fajar. Mereka memastikan akan memproses dan mengecek kondisi kejiwaan yang bersangkutan."
